label,delta_encL,delta_encR,heading,cmdL,cmdR
forward,-34,-31,350.9375,15,17
forward,-31,-31,350.9375,15,17
forward,-31,-29,351,15,17
forward,-28,-29,351.0625,15,17
forward,-30,-28,351.0625,15,17
forward,-30,-29,351.0625,15,17
forward,-30,-28,351,15,17
forward,-30,-30,351,15,17
forward,-29,-30,351.0625,15,17
forward,-31,-31,351,15,17
forward,-30,-29,351,15,17
forward,-31,-30,350.875,15,17
forward,-31,-30,350.9375,15,17
forward,-30,-30,350.875,15,17
forward,-32,-29,350.875,15,17
forward,-30,-30,350.875,15,17
forward,-30,-30,350.875,15,17
forward,-31,-30,350.875,15,17
forward,-30,-30,350.8125,15,17
forward,-30,-29,350.75,15,17
forward,-31,-31,350.75,15,17
forward,-30,-29,350.75,15,17
forward,-32,-31,350.6875,15,17
forward,-31,-30,350.625,15,17
forward,-31,-30,350.5625,15,17
forward,-32,-31,350.5,15,17
forward,-31,-29,350.4375,15,17
forward,-31,-30,350.4375,15,17
forward,-32,-29,350.3125,15,18
forward,-31,-30,350.375,15,18
forward,-31,-29,350.375,15,18
forward,-31,-31,350.3125,15,18
forward,-31,-32,350.25,15,19
forward,-32,-34,350.25,15,19
forward,-32,-32,350.1875,15,19
forward,-32,-32,350.1875,15,19
forward,-32,-35,350.1875,15,20
forward,-33,-31,350.1875,15,20
forward,-32,-34,350.25,15,20
forward,-33,-33,350.25,15,20
forward,-34,-34,350.3125,15,21
forward,-33,-34,350.375,15,21
forward,-34,-35,350.4375,15,21
forward,-33,-35,350.5625,15,21
forward,-32,-35,350.6875,15,21
forward,-32,-34,350.6875,15,21
forward,-34,-35,350.8125,15,21
forward,-32,-33,350.75,15,21
forward,-34,-34,350.75,15,21
forward,-33,-34,350.8125,15,21
forward,-34,-36,350.875,15,21
forward,-33,-34,350.9375,15,21
forward,-34,-34,350.9375,15,21
forward,-33,-34,351,15,21
forward,-33,-33,350.875,15,21
forward,-34,-35,350.9375,15,21
forward,-33,-34,350.875,15,21
forward,-33,-36,351,15,21
forward,-34,-35,350.9375,15,21
forward,-33,-35,350.9375,15,21
forward,-35,-34,350.9375,15,21
forward,-33,-35,350.9375,15,21
forward,-34,-35,351,15,21
forward,-37,-38,350.9375,15,21
forward,-34,-34,350.9375,15,21
forward,-34,-34,350.875,15,21
forward,-33,-35,350.9375,15,21
forward,-33,-34,350.875,15,21
forward,-34,-36,350.9375,15,21
forward,-34,-34,350.875,15,21
forward,-33,-36,350.9375,15,21
forward,-35,-35,350.875,15,21
forward,-34,-35,350.9375,15,21
forward,-34,-34,350.875,15,21
forward,-34,-34,350.9375,15,21
forward,-33,-33,350.9375,15,21
forward,-33,-35,351,15,21
forward,-33,-35,351.0625,15,21
forward,-34,-35,351.125,15,21
forward,-34,-36,351.125,15,20
forward,-35,-35,351.1875,15,20
forward,-34,-33,351.1875,15,20
forward,-32,-34,351.3125,15,19
forward,-32,-33,351.375,15,19
forward,-32,-32,351.375,15,19
forward,-32,-32,351.4375,15,19
forward,-33,-31,351.375,15,18
forward,-32,-33,351.4375,15,18
forward,-32,-31,351.4375,15,18
forward,-32,-32,351.4375,15,18
forward,-31,-31,351.375,15,17
forward,-34,-33,351.375,15,17
forward,-31,-29,351.3125,15,17
forward,-32,-30,351.25,15,16
forward,-31,-30,351.25,15,16
forward,-31,-29,351.1875,15,16
forward,-31,-30,351.25,15,15
forward,-30,-27,351.1875,15,15
forward,-30,-28,351.125,15,15
forward,-31,-28,351.0625,15,15
forward,-29,-27,351,15,15
forward,-30,-29,351,15,15
forward,-31,-28,350.9375,15,15
forward,-30,-28,350.875,15,15
forward,-31,-28,350.8125,15,15
forward,-30,-28,350.6875,15,15
forward,-29,-28,350.625,15,15
forward,-31,-28,350.5,15,15
forward,-29,-26,350.4375,15,15
forward,-29,-29,350.4375,15,16
forward,-29,-27,350.3125,15,16
forward,-30,-28,350.3125,15,16
forward,-30,-30,350.25,15,16
forward,-32,-30,350.25,15,17
forward,-30,-30,350.125,15,17
forward,-32,-30,350.125,15,17
forward,-30,-28,350.0625,15,18
forward,-32,-30,350.0625,15,18
forward,-32,-33,350.0625,15,18
forward,-31,-31,350.0625,15,19
forward,-32,-33,350.125,15,19
forward,-31,-34,350.125,15,19
forward,-32,-35,350.25,15,20
forward,-32,-33,350.3125,15,20
forward,-32,-34,350.4375,15,20
forward,-32,-33,350.4375,15,21
forward,-32,-34,350.5,15,21
forward,-34,-34,350.5625,15,21
forward,-33,-33,350.5625,15,21
forward,-33,-35,350.625,15,21
forward,-34,-35,350.6875,15,21
forward,-33,-35,350.75,15,21
forward,-33,-34,350.75,15,21
forward,-34,-36,350.8125,15,21
forward,-33,-33,350.75,15,21
forward,-34,-35,350.8125,15,21
forward,-33,-35,350.75,15,21
forward,-34,-35,350.8125,15,21
forward,-33,-36,350.8125,15,21
forward,-33,-34,350.8125,15,21
forward,-34,-35,350.8125,15,21
