time,label,delta_encL,delta_encR,heading,cmdL,cmdR
1763695887.5389233,forward,-33,-34,312.25,15,22
1763695887.5890346,forward,-33,-38,312.1875,15,22
1763695887.6391463,forward,-33,-35,312.25,15,22
1763695887.6892583,forward,-34,-36,312.25,15,22
1763695887.7393706,forward,-33,-37,312.3125,15,21
1763695887.789483,forward,-35,-35,312.3125,15,21
1763695887.8395936,forward,-34,-36,312.375,15,21
1763695887.8897054,forward,-35,-34,312.3125,15,21
1763695887.9398174,forward,-34,-34,312.3125,15,20
1763695887.9899285,forward,-34,-34,312.3125,15,20
1763695888.0400405,forward,-33,-32,312.25,15,20
1763695888.0901523,forward,-33,-34,312.1875,15,20
1763695888.1402647,forward,-32,-33,312.1875,15,20
1763695888.190376,forward,-32,-33,312.125,15,20
1763695888.2404869,forward,-33,-34,312.125,15,20
1763695888.290598,forward,-32,-33,312.125,15,20
1763695888.3407092,forward,-33,-33,312.0,15,20
1763695888.39082,forward,-34,-33,312.0,15,20
1763695888.4409304,forward,-33,-32,311.9375,15,20
1763695888.4910414,forward,-33,-33,312.0625,15,20
1763695888.5411513,forward,-33,-33,312.0,15,20
1763695888.5912619,forward,-32,-33,312.0625,15,20
1763695888.6413722,forward,-33,-32,312.0625,15,20
1763695888.691483,forward,-33,-34,312.0625,15,20
1763695888.7415936,forward,-33,-33,312.0625,15,20
1763695888.7917058,forward,-33,-33,312.125,15,20
1763695888.8418174,forward,-33,-33,312.1875,15,20
1763695888.8919291,forward,-31,-34,312.375,15,19
1763695888.9420407,forward,-34,-35,312.3125,15,19
1763695888.9921513,forward,-32,-33,312.4375,15,19
1763695889.0422623,forward,-33,-32,312.4375,15,18
1763695889.0923727,forward,-31,-31,312.375,15,18
1763695889.142484,forward,-32,-30,312.375,15,18
1763695889.1925952,forward,-31,-30,312.4375,15,18
1763695889.2427058,forward,-31,-31,312.4375,15,17
1763695889.2928169,forward,-31,-31,312.375,15,17
1763695889.3429294,forward,-31,-30,312.375,15,17
1763695889.39304,forward,-31,-29,312.3125,15,17
